Ville	Département	Région	Statut	Statut_abrev	Discipline	Discipline_EN	Discipline secondaire
Annecy	Haute-Savoie	Auvergne-Rhône-Alpes	Ingénieur de Recherche 	IR	Physique	Physics	Data Science
Aubervilliers	Seine-Saint-Denis	Île-de-France	Ingénieur d'Études 	IE	Géographie	Geography	
Aubière	Puy-de-Dôme	Auvergne-Rhône-Alpes	Professeur des Universités	PU	Informatique	Computer Science	Simulations stochastiques pour la Physique
Aubière	Puy-de-Dôme	Auvergne-Rhône-Alpes	Doctorant 	Doctorant	Informatique	Computer Science	Machine Learning
Aubière	Puy-de-Dôme	Auvergne-Rhône-Alpes	Doctorant 	Doctorant	Informatique	Computer Science	Reproductibilité
Aubière	Puy-de-Dôme	Auvergne-Rhône-Alpes	Ingénieur de Recherche 	IR	Bioinformatique 	Bioinformatics 	Physiologie moéculaire 
Avignon	Vaucluse	Provence-Alpes-Cote d'Azur	Chargé de Recherche 	CR 	Écologie 	Ecology	Écotoxicologie 
Bordeaux	Gironde	Nouvelle-Aquitaine	Ingénieur d'Études	IE	Statistique	Statistics	Anthropologie biologique
Bordeaux	Gironde	Nouvelle-Aquitaine	Maître de Conférences 	MdC	Médicament	Pharmacology	
Bordeaux	Gironde	Nouvelle-Aquitaine	Ingénieur de Recherche 	IR	Informatique	Computer Science	
Bordeaux	Gironde	Nouvelle-Aquitaine	Ingénieur d'Études 	IE	Psychologie	Psychology	
Champs-sur-Marne	Seine-et-Marne	Île-de-France	Chargé de Recherche	CR 	Physique	Physics	Mécanique des chocs 
Corte	Haute-Corse	Corse	Maître de Conférences 	MdC	Informatique	Computer Science	Aide a la décision 
Créteil 	Val-de-Marne	Île-de-France	Ingénieur de Recherche 	IR	Bioinformatique 	Bioinformatics 	Oncologie
Grenoble	Isère	Auvergne-Rhône-Alpes	Ingénieur de Recherche	IR	Mathématiques	Mathematics	Calcul scientifique
Grenoble	Isère	Auvergne-Rhône-Alpes	Postdoctorant	Postdoc	Physique	Physics	Géophysique
Grenoble	Isère	Auvergne-Rhône-Alpes	Ingénieur d'Études	IE	Mathématiques	Mathematics	
Grenoble	Isère	Auvergne-Rhône-Alpes	Directeur de Recherche 	DR	Informatique	Computer Science	  
Grenoble	Isère	Auvergne-Rhône-Alpes	Ingénieur de Recherche 	IR	Ingénierie	Engineering	Mathématiques appliques
Grenoble	Isère	Auvergne-Rhône-Alpes	Maître de Conférences 	MdC	Informatique	Computer Science	
Grenoble	Isère	Auvergne-Rhône-Alpes	Maître de Conférences 	MdC	Ingénierie	Engineering	Science de la durabilité
Grenoble	Isère	Auvergne-Rhône-Alpes	Ingénieur de Recherche 	IR	Mathématiques	Mathematics	
Grenoble	Isère	Auvergne-Rhône-Alpes	Ingénieur de Recherche 	IR	Mathématiques	Mathematics	
Grenoble	Isère	Auvergne-Rhône-Alpes	Ingénieur de Recherche 	IR	Informatique	Computer Science	
Guadeloupe 	Guadeloupe 	Guadeloupe 	Chargé de Recherche 	CR 	Biology	Biology	Biologie des populations et écologie 
Jouy-en-Josas 	Yvelines	Île-de-France	Ingénieur de Recherche 	IR	Biostatistique	Biostatistics	
Lille	Nord	Hauts-de-France	Bioinformaticien 	IR	Bioinformatique 	Bioinformatics 	Cancer
Lille	Nord	Hauts-de-France	Professeur des Universités	PU	Informatique	Computer Science	Environnements Informatiques pour l'Apprentissage Humain
Lille	Nord	Hauts-de-France	Ingénieur de Recherche 	IR	Biostatistique	Biostatistics	Biologie
Lille	Nord	Hauts-de-France	Ingénieur d'Études 	IE	Sociologie 	Sociology	Ingénierie  d'enquête en sciences sociales
Limoges	Haute-Vienne	Nouvelle-Aquitaine	Ingénieur de Recherche 	IR	Informatique	Computer Science	
Lyon	Rhône	Auvergne-Rhône-Alpes	Ingénieur de Recherche	IR	Informatique	Computer Science	Biologie des populations et écologie
Lyon	Rhône	Auvergne-Rhône-Alpes	ATER 	ATER	Informatique	Computer Science	Sciences du langage
Lyon	Rhône	Auvergne-Rhône-Alpes	Directeur de Recherche 	DR	Physique	Physics	Biomécanique
Lyon	Rhône	Auvergne-Rhône-Alpes	Chargé de Recherche 	CR 	Neurosciences	Neuroscience	Éthique de la Recherche animale
Lyon	Rhône	Auvergne-Rhône-Alpes	Chargé de Recherche	CR 	Neurosciences	Neuroscience	
Lyon	Rhône	Auvergne-Rhône-Alpes	Chargé de Recherche 	CR 	Neurosciences	Neuroscience	
Lyon	Rhône	Auvergne-Rhône-Alpes	Ingénieur de Recherche	IR	Neurosciences	Neuroscience	NeuroImagerie humaine
Lyon	Rhône	Auvergne-Rhône-Alpes	Chargé de mission	CM	Données	Data	Ambassadrice de Software Heritage
Lyon	Rhône	Auvergne-Rhône-Alpes	Ingénieur d'Études	IE	Information	Information	Science ouverte
Lyon	Rhône	Auvergne-Rhône-Alpes	Ingénieur de Recherche 	IR	Information	Information	Science ouverte
Lyon	Rhône	Auvergne-Rhône-Alpes	Ingénieur de Recherche 	IR	Mathématiques	Mathematics	Imagerie médicale
Lyon	Rhône	Auvergne-Rhône-Alpes	Ingénieur de Recherche 	IR	Bioinformatique 	Bioinformatics 	Génomique du cancer 
Lyon	Rhône	Auvergne-Rhône-Alpes	Responsable pole accompagnement données de la Recherche et documentation 	Data	Information	Information	Science ouverte et accompagnement a la gestion des données de recherche
Lyon	Rhône	Auvergne-Rhône-Alpes	Ingénieur de Recherche 	IR	Biostatistique	Biostatistics	Développement logiciel
Marseille	Bouches-du-Rhône	Provence-Alpes-Cote d'Azur	Ingénieur d'Études	IE	Information	Information	
Montpellier	Hérault	Occitanie	Ingénieur de Recherche	IR	Bioinformatique 	Bioinformatics 	
Montpellier	Hérault	Occitanie	Ingénieur d'Études	IE	Biostatistique	Biostatistics	Gestionnaire des données
Montpellier	Hérault	Occitanie	Ingénieur de Recherche 	IR	Informatique	Computer Science	  
Montpellier	Hérault	Occitanie	Ingénieur d'Études	IE	Statistique	Statistics	économie appliquée
Montpellier	Hérault	Occitanie	Chargé de Recherche 	CR 	Biologie	Biology	Genomique
Nancy	Meurthe-et-Moselle 	Grand-Est	Professeur des Universités	PU	Histoire des Sciences	History of Science	
Nantes	Loire-Atlantique,	Pays-de-la-Loire	Ingénieur de Recherche 	IR	Physique	Physics	Planétologie
Nantes	Loire-Atlantique,	Pays-de-la-Loire	Doctorant 	Doctorant	Epidemiologie	Epidemiology	Santé publique
Narbonne	Aude	Occitanie	Ingénieur d'Études 	IE	Ingénierie	Engineering	 RDO, Qualité
Nogent-sur-Marne 	Val-de-Marne	Île-de-France	Ingénieur de Recherche 	IR	Économie	Economics	Modélisation
Noisy-le-Grand 	Seine-Saint-Denis	Île-de-France	Ingénieur de Recherche 	IR	Informatique	Computer Science	Techniques et innovations
Orléans	Loiret	Centre-Val-de-Loire	Maître de Conférences 	MdC	Mathématiques	Mathematics	Modélisation
Orléans	Loiret	Centre-Val-de-Loire	Chargé de Recherche 	CR 	Physique	Physics	Biochimie
Orléans	Loiret	Centre-Val-de-Loire	Ingénieur de Recherche 	IR	Biologie	Biology	Biochimie et biologie moléculaire 
Paris	Paris	Île-de-France	Chargé de Projet	CP	Biologie	Biology	Biologie du développement
Paris	Paris	Île-de-France	Ingénieur de Recherche	IR	Géographie	Geography	Cartographie
Paris	Paris	Île-de-France	Ingénieur de Recherche	IR	Bioinformatique 	Bioinformatics 	Biomédical
Paris	Paris	Île-de-France	Maître de Conférences 	MdC	Biologie	Biology	Omics
Paris	Paris	Île-de-France	Ingénieur de Recherche	IR	Physique	Physics	Électronique numérique
Paris	Paris	Île-de-France	Biostatisticien	BS	Biostatistique	Biostatistics	Santé publique
Paris	Paris	Île-de-France	Ingénieur de Recherche 	IR	Bioinformatique 	Bioinformatics 	Phylogénies virales
