Discipline;Count;Percentage
Informatique;23;22.115384615384613
Bioinformatique ;11;10.576923076923077
Physique;9;8.653846153846153
Biologie;8;7.6923076923076925
Biostatistique;7;6.730769230769231
Mathématiques;7;6.730769230769231
Statistique;5;4.807692307692308
Information;5;4.807692307692308
Ingénierie;5;4.807692307692308
Science Ouverte;5;4.807692307692308
Neurosciences ;5;4.807692307692308
Géographie;3;2.8846153846153846
Politique;1;0.9615384615384616
Écologie ;1;0.9615384615384616
Sociologie ;1;0.9615384615384616
Psychologie;1;0.9615384615384616
Médecine ;1;0.9615384615384616
Neurosciences;1;0.9615384615384616
Médicament;1;0.9615384615384616
Histoire des Sciences;1;0.9615384615384616
Epidemiologie;1;0.9615384615384616
Données;1;0.9615384615384616
Économie;1;0.9615384615384616
