Région;Count;Percentage
Île-de-France;31;29.807692307692307
Auvergne-Rhône-Alpes;29;27.884615384615387
Occitanie;13;12.5
Bretagne;5;4.807692307692308
Nouvelle-Aquitaine;5;4.807692307692308
Hauts-de-France;4;3.8461538461538463
Centre-Val-de-Loire;3;2.8846153846153846
Grand-Est;3;2.8846153846153846
Guadeloupe ;2;1.9230769230769231
Normandie;2;1.9230769230769231
Pays-de-la-Loire;2;1.9230769230769231
Provence-Alpes-Cote d'Azur;2;1.9230769230769231
Corse;1;0.9615384615384616
Sweden;1;0.9615384615384616
UK;1;0.9615384615384616
