Ville;Count;Percentage
Paris;19;18.269230769230766
Lyon;14;13.461538461538462
Grenoble;10;9.615384615384617
Toulouse;6;5.769230769230769
Montpellier;5;4.807692307692308
Aubière;4;3.8461538461538463
Bordeaux;4;3.8461538461538463
Saclay;4;3.8461538461538463
Rennes;4;3.8461538461538463
Lille;4;3.8461538461538463
Orléans;3;2.8846153846153846
Nantes;2;1.9230769230769231
Strasbourg ;2;1.9230769230769231
Rouen;2;1.9230769230769231
Villetaneuse;2;1.9230769230769231
Marseille;1;0.9615384615384616
Reading;1;0.9615384615384616
Avignon;1;0.9615384615384616
Tarbes;1;0.9615384615384616
Champs-sur-Marne;1;0.9615384615384616
Stockholm;1;0.9615384615384616
Corte;1;0.9615384615384616
Créteil ;1;0.9615384615384616
Guadeloupe ;1;0.9615384615384616
Ploufragan;1;0.9615384615384616
Nancy;1;0.9615384615384616
Petit-Bourg;1;0.9615384615384616
Jouy-en-Josas ;1;0.9615384615384616
Limoges;1;0.9615384615384616
Noisy-le-Grand ;1;0.9615384615384616
Nogent-sur-Marne ;1;0.9615384615384616
Narbonne;1;0.9615384615384616
Aubervilliers;1;0.9615384615384616
Annecy;1;0.9615384615384616
