Région;Discipline;Count
Auvergne-Rhône-Alpes;Bioinformatique ;2
Auvergne-Rhône-Alpes;Biostatistique;1
Auvergne-Rhône-Alpes;Données;1
Auvergne-Rhône-Alpes;Information;3
Auvergne-Rhône-Alpes;Informatique;8
Auvergne-Rhône-Alpes;Ingénierie;2
Auvergne-Rhône-Alpes;Mathématiques;5
Auvergne-Rhône-Alpes;Neurosciences;4
Auvergne-Rhône-Alpes;Physique;3
Bretagne;Bioinformatique ;1
Bretagne;Biologie;2
Bretagne;Informatique;1
Bretagne;Médecine ;1
Centre-Val-de-Loire;Biologie;1
Centre-Val-de-Loire;Mathématiques;1
Centre-Val-de-Loire;Physique;1
Corse;Informatique;1
Grand-Est;Histoire des Sciences;1
Grand-Est;Informatique;1
Grand-Est;Science Ouverte;1
Guadeloupe ;Biology;1
Guadeloupe ;Biostatistique;1
Hauts-de-France;Bioinformatique ;1
Hauts-de-France;Biostatistique;1
Hauts-de-France;Informatique;1
Hauts-de-France;Sociologie ;1
Normandie;Géographie;1
Normandie;Informatique;1
Nouvelle-Aquitaine;Informatique;2
Nouvelle-Aquitaine;Médicament;1
Nouvelle-Aquitaine;Psychologie;1
Nouvelle-Aquitaine;Statistique;1
Occitanie;Bioinformatique ;1
Occitanie;Biologie;1
Occitanie;Biostatistique;2
Occitanie;Informatique;3
Occitanie;Ingénierie;3
Occitanie;Statistique;3
Pays-de-la-Loire;Epidemiologie;1
Pays-de-la-Loire;Physique;1
Provence-Alpes-Cote d'Azur;Information;1
Provence-Alpes-Cote d'Azur;Écologie ;1
Sweden;Neurosciences;1
UK;Statistique;1
Île-de-France;Bioinformatique ;6
Île-de-France;Biologie;3
Île-de-France;Biostatistique;2
Île-de-France;Géographie;2
Île-de-France;Information;1
Île-de-France;Informatique;5
Île-de-France;Mathématiques;1
Île-de-France;Neurosciences;1
Île-de-France;Physique;4
Île-de-France;Politique;1
Île-de-France;Science Ouverte;4
Île-de-France;Économie;1
