Région;Discipline_EN;Count
Auvergne-Rhône-Alpes;Bioinformatics ;2
Auvergne-Rhône-Alpes;Biostatistics;1
Auvergne-Rhône-Alpes;Computer Science;8
Auvergne-Rhône-Alpes;Data;1
Auvergne-Rhône-Alpes;Engineering;2
Auvergne-Rhône-Alpes;Information;3
Auvergne-Rhône-Alpes;Mathematics;5
Auvergne-Rhône-Alpes;Neuroscience;4
Auvergne-Rhône-Alpes;Physics;3
Bretagne;Bioinformatics ;1
Bretagne;Biology;2
Bretagne;Computer Science;1
Bretagne;Medicine;1
Centre-Val-de-Loire;Biology;1
Centre-Val-de-Loire;Mathematics;1
Centre-Val-de-Loire;Physics;1
Corse;Computer Science;1
Grand-Est;Computer Science;1
Grand-Est;History of Science;1
Grand-Est;Open Science;1
Guadeloupe ;Biology;1
Guadeloupe ;Biostatistics;1
Hauts-de-France;Bioinformatics ;1
Hauts-de-France;Biostatistics;1
Hauts-de-France;Computer Science;1
Hauts-de-France;Sociology;1
Normandie;Computer Science;1
Normandie;Geography;1
Nouvelle-Aquitaine;Computer Science;2
Nouvelle-Aquitaine;Pharmacology;1
Nouvelle-Aquitaine;Psychology;1
Nouvelle-Aquitaine;Statistics;1
Occitanie;Bioinformatics ;1
Occitanie;Biology;1
Occitanie;Biostatistics;2
Occitanie;Computer Science;3
Occitanie;Engineering;3
Occitanie;Statistics;3
Pays-de-la-Loire;Epidemiology;1
Pays-de-la-Loire;Physics;1
Provence-Alpes-Cote d'Azur;Ecology;1
Provence-Alpes-Cote d'Azur;Information;1
Sweden;Neuroscience;1
UK;Statistics;1
Île-de-France;Bioinformatics ;6
Île-de-France;Biology;3
Île-de-France;Biostatistics;2
Île-de-France;Computer Science;5
Île-de-France;Economics;1
Île-de-France;Geography;2
Île-de-France;Information;1
Île-de-France;Mathematics;1
Île-de-France;Neuroscience;1
Île-de-France;Open Science;4
Île-de-France;Physics;4
Île-de-France;Politics;1
